Name;SI;Handles;VM;WS;PM;NPM;Path;Company;CPU;FileVersion;ProductVersion;Description;Product;__NounName;BasePriority;ExitCode;HasExited;ExitTime;Handle;SafeHandle;HandleCount;Id;MachineName;MainWindowHandle;MainWindowTitle;MainModule;MaxWorkingSet;MinWorkingSet;Modules;NonpagedSystemMemorySize;NonpagedSystemMemorySize64;PagedMemorySize;PagedMemorySize64;PagedSystemMemorySize;PagedSystemMemorySize64;PeakPagedMemorySize;PeakPagedMemorySize64;PeakWorkingSet;PeakWorkingSet64;PeakVirtualMemorySize;PeakVirtualMemorySize64;PriorityBoostEnabled;PriorityClass;PrivateMemorySize;PrivateMemorySize64;PrivilegedProcessorTime;ProcessName;ProcessorAffinity;Responding;SessionId;StartInfo;StartTime;SynchronizingObject;Threads;TotalProcessorTime;UserProcessorTime;VirtualMemorySize;VirtualMemorySize64;EnableRaisingEvents;StandardInput;StandardOutput;StandardError;WorkingSet;WorkingSet64;Site;Container
chrome;3;265;2,20002E+12;215449600;251703296;74096;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;86,828125;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;3936;Microsoft.Win32.SafeHandles.SafeProcessHandle;265;14768;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;74096;74096;251703296;251703296;356008;356008;261357568;261357568;223825920;223825920;1002278912;2,20003E+12;True;Normal;251703296;251703296;00:00:07.8437500;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:39;;System.Diagnostics.ProcessThreadCollection;00:01:26.8281250;00:01:18.9843750;998608896;2,20002E+12;False;;;;215449600;215449600;;
chrome;3;323;2,19992E+12;20914176;69021696;35880;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;4,90625;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;4;;False;;3860;Microsoft.Win32.SafeHandles.SafeProcessHandle;323;14816;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;35880;35880;69021696;69021696;472624;472624;83357696;83357696;95166464;95166464;908779520;2,19993E+12;True;Idle;69021696;69021696;00:00:01.3281250;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:40;;System.Diagnostics.ProcessThreadCollection;00:00:04.9062500;00:00:03.5781250;896847872;2,19992E+12;False;;;;20914176;20914176;;
chrome;3;398;2,2011E+12;28172288;122241024;48936;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;47,265625;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;4;;False;;3416;Microsoft.Win32.SafeHandles.SafeProcessHandle;398;14976;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;48936;48936;122241024;122241024;574944;574944;157265920;157265920;170098688;170098688;2120159232;2,20114E+12;True;Idle;122241024;122241024;00:00:08.9687500;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:40;;System.Diagnostics.ProcessThreadCollection;00:00:47.2656250;00:00:38.2968750;2076643328;2,2011E+12;False;;;;28172288;28172288;;
chrome;3;236;2,19996E+12;83083264;129208320;48936;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;146,921875;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;3296;Microsoft.Win32.SafeHandles.SafeProcessHandle;236;15000;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;48936;48936;129208320;129208320;358152;358152;348020736;348020736;329691136;329691136;1113358336;2,20014E+12;True;Normal;129208320;129208320;00:00:13.9843750;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:39;;System.Diagnostics.ProcessThreadCollection;00:02:26.9218750;00:02:12.9375000;936779776;2,19996E+12;False;;;;83083264;83083264;;
chrome;3;409;2,20014E+12;119209984;183865344;58728;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;240,3125;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;4;;False;;3996;Microsoft.Win32.SafeHandles.SafeProcessHandle;409;15020;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;58728;58728;183865344;183865344;629104;629104;243400704;243400704;269594624;269594624;1196474368;2,20022E+12;True;Idle;183865344;183865344;00:00:23.3593750;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:39;;System.Diagnostics.ProcessThreadCollection;00:04:00.3125000;00:03:36.9531250;1113305088;2,20014E+12;False;;;;119209984;119209984;;
chrome;3;6154;2,20031E+12;223318016;514347008;182912;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;8248,4375;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;4108;Microsoft.Win32.SafeHandles.SafeProcessHandle;6154;15304;.;459014;Create a Real-Time IT Dashboard with PowerBIPS | Rui Romano Blog - Google Chrome;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;182912;182912;514347008;514347008;1548240;1548240;587321344;587321344;414711808;414711808;1730326528;2,20075E+12;True;Normal;514347008;514347008;00:21:21.9218750;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:39;;System.Diagnostics.ProcessThreadCollection;02:17:28.4375000;01:56:06.5156250;1290424320;2,20031E+12;False;;;;223318016;223318016;;
chrome;3;355;2,20003E+12;13737984;135970816;54376;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;72,734375;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;4016;Microsoft.Win32.SafeHandles.SafeProcessHandle;355;15652;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;54376;54376;135970816;135970816;554216;554216;194768896;194768896;199704576;199704576;1021657088;2,20004E+12;True;Normal;135970816;135970816;00:00:15.3750000;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:40;;System.Diagnostics.ProcessThreadCollection;00:01:12.7343750;00:00:57.3593750;1010384896;2,20003E+12;False;;;;13737984;13737984;;
chrome;3;234;2,19981E+12;14393344;46514176;24184;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;3,9375;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;2912;Microsoft.Win32.SafeHandles.SafeProcessHandle;234;15664;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;24184;24184;46514176;46514176;353104;353104;48947200;48947200;43790336;43790336;790814720;2,19981E+12;True;Normal;46514176;46514176;00:00:01.0156250;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:39;;System.Diagnostics.ProcessThreadCollection;00:00:03.9375000;00:00:02.9218750;790814720;2,19981E+12;False;;;;14393344;14393344;;
chrome;3;424;2,2001E+12;22437888;101888000;51384;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;783,71875;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;2940;Microsoft.Win32.SafeHandles.SafeProcessHandle;424;15672;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;51384;51384;101888000;101888000;726600;726600;192970752;192970752;236544000;236544000;1172037632;2,2002E+12;True;Normal;101888000;101888000;00:02:12.5312500;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:40;;System.Diagnostics.ProcessThreadCollection;00:13:03.7187500;00:10:51.1875000;1080360960;2,2001E+12;False;;;;22437888;22437888;;
chrome;3;306;2,19986E+12;9187328;51363840;33568;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;3,3125;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;3372;Microsoft.Win32.SafeHandles.SafeProcessHandle;306;16072;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;33568;33568;51363840;51363840;449736;449736;78749696;78749696;83935232;83935232;846266368;2,19987E+12;True;Normal;51363840;51363840;00:00:00.8437500;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:40;;System.Diagnostics.ProcessThreadCollection;00:00:03.3125000;00:00:02.4687500;840237056;2,19986E+12;False;;;;9187328;9187328;;
chrome;3;305;2,19993E+12;25194496;59518976;33296;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;32,796875;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;4;;False;;3424;Microsoft.Win32.SafeHandles.SafeProcessHandle;305;16076;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;33296;33296;59518976;59518976;492496;492496;77398016;77398016;81539072;81539072;918228992;2,19994E+12;True;Idle;59518976;59518976;00:00:03.2343750;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:40;;System.Diagnostics.ProcessThreadCollection;00:00:32.7968750;00:00:29.5625000;904400896;2,19993E+12;False;;;;25194496;25194496;;
chrome;3;540;2,19912E+12;1388544;3538944;13648;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;3,5;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;3764;Microsoft.Win32.SafeHandles.SafeProcessHandle;540;16160;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;13648;13648;3538944;3538944;185392;185392;6397952;6397952;12537856;12537856;105861120;2,19913E+12;True;Normal;3538944;3538944;00:00:02.9687500;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:39;;System.Diagnostics.ProcessThreadCollection;00:00:03.5000000;00:00:00.5312500;97509376;2,19912E+12;False;;;;1388544;1388544;;
